STOCKCODE,NAME_ENG,NAME_CHI,BOARD_LOT
0078.HK,REGAL INT'L,REGAL INT'L,2000
0079.HK,CENTURY LEGEND,世紀建業,4000
0081.HK,CH OVS G OCEANS,中國海外宏洋集團,1000
0082.HK,V1 GROUP,第一視頻,2000
0083.HK,SINO LAND,信和置業,2000
0084.HK,STELUX HOLDINGS,寶光實業,1000
0085.HK,CE HUADA TECH,中電華大科技,2000
0086.HK,SUN HUNG KAI CO,新鴻基公司,1000
0087.HK,SWIRE PACIFIC B,太古股份公司Ｂ,2500
0088.HK,TAI CHEUNG HOLD,TAI CHEUNG HOLD,1000
0089.HK,TAI SANG LAND,大生地產,1000
0090.HK,AMBER ENERGY,琥珀能源,2000
0091.HK,INT'L STD RES,標準資源控股,25000
0092.HK,CHAMPION TECH,CHAMPION TECH,2000
0093.HK,TERMBRAY IND,TERMBRAY IND,2000
0094.HK,GREENHEART GP,綠心集團,2000
0095.HK,LVGEM CHINA,綠景中國地產,4000
0096.HK,YUSEI,ＹＵＳＥＩ,2000
0097.HK,HENDERSON INV,恒基發展,1000
0098.HK,XINGFA ALUM,興發鋁業,1000
0099.HK,WONG'S INT'L,王氏國際,1000
0100.HK,CLEAR MEDIA,白馬戶外媒體,1000
0101.HK,HANG LUNG PPT,恒隆地產,1000
0102.HK,SUMMIT ASCENT,凱升控股,2000
0103.HK,SHOUGANG CENT,首長寶佳,2000
0104.HK,ASIA COMM HOLD,ASIA COMM HOLD,5000
0105.HK,ASSO INT HOTELS,凱聯國際酒店,2000
0106.HK,LANDSEA PPT,朗詩綠色地產,4000
0107.HK,SICHUAN EXPRESS,四川成渝高速公路,2000
0108.HK,GR PROPERTIES,國銳地產,2000
0109.HK,GOODRESOURCES,天成國際,10000
0110.HK,CHINA FORTUNE,中國長遠,2000
0111.HK,CINDA INTL HLDG,信達國際控股,2000
0112.HK,LT COMM REALEST,勒泰商業地產,2000
0113.HK,DICKSON CONCEPT,迪生創建,500
0114.HK,HERALD HOLD,HERALD HOLD,5000
0115.HK,GRAND FIELD GP,鈞濠集團,10000
0116.HK,CHOW SANG SANG,周生生,1000
0117.HK,TIANLI HOLDINGS,天利控股集團,2000
0118.HK,COSMOS MACH,大同機械,2000
0119.HK,POLY PROPERTY,保利置業集團,1000
0120.HK,COSMOPOL INT'L,COSMOPOL INT'L,20000
0121.HK,C.P. LOTUS,卜蜂蓮花,10000
0122.HK,CROCODILE,鱷魚恤,1000
0123.HK,YUEXIU PROPERTY,越秀地產,2000
0124.HK,GD LAND,粵海置地,2000
0125.HK,SUN HING VISION,新興光學,2000
0126.HK,CARRIANNA,佳寧娜,2000
0127.HK,CHINESE EST H,華人置業,500
0128.HK,ENM HOLDINGS,安寧控股,4000
0129.HK,ASIA STANDARD,泛海集團,2000
0130.HK,MOISELLE INT'L,慕詩國際,2000
