STOCKCODE,NAME_ENG,NAME_CHI,BOARD_LOT
0503,LANSEN PHARMA,朗生醫藥,"1,000"
0505,HUAN YUE INTER,歡悅互娛,"1,000"
0506,CHINA FOODS,中國食品,"2,000"
0508,DINGYI GP INV,鼎億集團投資,"5,000"
0509,SUNSHINE,世紀陽光,"5,000"
0510,CASH FIN SER GP,時富金融服務集團,"6,000"
0511,TVB,電視廣播,100
0512,CHINAGRANDPHARM,遠大醫藥,"4,000"
0513,CONTINENTAL H,恆和集團,"10,000"
0515,TC ORI LIGHT,達進東方照明,"2,000"
0517,COSCO SHIP INTL,中遠海運國際,"2,000"
0518,TUNGTEX (HOLD),同得仕（集團）,"2,000"
0519,APPLIED DEV,實力建業,"5,000"
0520,XIABUXIABU,呷哺呷哺,500
0521,HNA HOLDING,海航實業股份,"10,000"
0522,ASM PACIFIC,ASM PACIFIC,100
0524,E-KONG GROUP,E-KONG GROUP,"10,000"
0525,GUANGSHEN RAIL,廣深鐵路股份,"2,000"
0526,LISI GP HOLD,利時集團控股,"2,000"
0527,RUIFENG RENEW,瑞風新能源,"4,000"
0528,KINGDOM HOLDING,金達控股,"2,000"
0529,SIS INT'L,SIS INT'L,"2,000"
0530,GOLDIN FIN HOLD,高銀金融,"2,000"
0531,SAMSON HOLDING,順誠,"1,000"
0532,WKK INTL (HOLD),WKK INTL (HOLD),"2,000"
0533,GOLDLION HOLD,金利來集團,"1,000"
0535,GEMDALE PPT,金地商置,"2,000"
0536,TRADELINK,貿易通,"2,000"
0538,AJISEN (CHINA),味千（中國）,"1,000"
0539,VICTORY CITY,冠華國際控股,"2,000"
0540,SPEEDY GLOBAL,迅捷環球控股,"4,000"
0542,CENERIC,新嶺域集團,"8,000"
0543,PACIFIC ONLINE,太平洋網絡,"1,000"
0544,DAIDO GROUP,大同集團,"20,000"
0546,FUFENG GROUP,阜豐集團,"1,000"
0547,DIGITAL DOMAIN,數字王國,"10,000"
0548,SHENZHENEXPRESS,深圳高速公路股份,"2,000"
0550,KK CULTURE,KK文化,"2,000"
0551,YUE YUEN IND,裕元集團,500
0552,CHINACOMSERVICE,中國通信服務,"2,000"
0553,NANJING PANDA,南京熊貓電子股份,"2,000"
0554,HANS ENERGY,漢思能源,"2,000"
0555,REXLOT HOLDINGS,御泰中彩控股,"25,000"
0556,PAN ASIA ENVIRO,泛亞環保,"2,000"
0557,CITY E-SOLUTION,CITY E-SOLUTION,"2,000"
0558,LK TECH,力勁科技,"2,500"
0559,DETAI NEWENERGY,德泰新能源集團,"10,000"
0560,CHU KONG SHIP,珠江船務,"2,000"
0563,SH IND URBAN,上實城市開發,"2,000"
0564,ZMJ,鄭煤機,200
0565,ART GROUP HOLD,錦藝集團控股,"5,000"
0566,HANERGY TFP,漢能薄膜發電,"2,000"
0567,DAISHOMICROLINE,大昌微?集團,"2,000"
0568,SHANDONG MOLONG,山東墨龍,400
0569,CH AUTOMATION,中國自動化,"1,000"
0570,TRAD CHI MED,中國中藥,"2,000"
0571,ESUN HOLDINGS,豐德麗控股,"2,000"
0572,FUTURE WORLD FH,未來世界金融,"4,000"
0573,TAO HEUNG HLDGS,稻香控股,"1,000"
0574,PASHUN INT'L,百信國際,"2,000"
0575,REGENT PACIFIC,勵晶太平洋,"10,000"
0576,ZHEJIANGEXPRESS,浙江滬杭甬,"2,000"
0577,THE 13 HOLDINGS,十三集團,500
0578,ROSAN RES,融信資源,"10,000"
0579,JNCEC,京能清潔能源,"2,000"
0580,SUN.KING ELEC,賽晶電力電子,"2,000"
0581,CHINA ORIENTAL,中國東方集團,"2,000"
0582,LANDING INTL,藍鼎國際,"60,000"
0583,GWPA HOLDINGS,長城環亞控股,"2,000"
0585,IMAGI INT'L,意馬國際,"8,000"
0586,CONCH VENTURE,海螺創業,500
0587,HUA HAN HEALTH,華瀚健康,"4,000"
0588,BEIJING N STAR,北京北辰實業股份,"2,000"
0589,PORTICO INT'L,寶國國際,500
0590,LUK FOOK HOLD,六福集團,"1,000"
0591,C HIGHPRECISION,中國高精密,"1,000"
0592,BOSSINI INT'L,BOSSINI INT'L,"2,000"
0593,DREAMEAST,夢東方,500
0595,AV CONCEPT HOLD,AV CONCEPT HOLD,"2,000"
0596,INSPUR INT'L,浪潮國際,"2,000"
0598,SINOTRANS,中國外運,"1,000"
0599,E. BON HOLDINGS,怡邦行控股,"4,000"
0600,CHINA INFRA INV,中國基建投資,"2,000"
0601,GROUP SENSE,權智（國際）,"10,000"
0602,JIAHUA STORES H,佳華百貨控股,"2,500"
0603,CHINA OIL & GAS,中油燃氣,"20,000"
0604,SHENZHEN INVEST,深圳控股,"2,000"
0605,C FIN SERVICES,中國金融投資管理,"2,000"
0606,CHINA AGRI,中國糧油控股,"1,000"
